"ENTREZID","SYMBOL","87.1_CX.5461_0.1_48","87.1_VEH_0.1_48","17.3_CX.5461_0.1_48","17.3_VEH_0.1_48","84.1_CX.5461_0.1_48","84.1_VEH_0.1_48","90.1_CX.5461_0.1_48","90.1_VEH_0.1_48","75.1_CX.5461_0.1_48","75.1_VEH_0.1_48","78.1_CX.5461_0.1_48","78.1_VEH_0.1_48"
9403,"SELENOF",5.73477731,6.207700848,5.905759102,6.120092023,6.140163133,6.175056226,6.085006191,6.231187714,5.970677425,6.067192305,5.919378106,5.90796026
9653,"HS2ST1",6.738243433,7.204869073,6.950640022,7.006106031,7.270833165,7.303810221,6.659395221,6.825602571,7.156963787,7.356540469,7.314151586,7.312332082
8543,"LMO4",7.209736328,7.315993607,6.652619537,6.577945024,6.919231597,6.642441694,7.054178061,6.963813689,7.500009223,7.338865244,7.198292432,7.072981071
5586,"PKN2",6.66910959,6.870635816,6.805481315,6.81019044,6.884264639,6.865024379,6.738547287,6.707034109,7.035419983,7.117332502,7.367541162,7.183427428
2959,"GTF2B",4.206729238,4.185469303,4.333543409,4.090211375,4.016924255,3.782741783,4.325999994,4.261403183,4.380618278,4.064691643,4.174385452,4.099822622
56267,"KYAT3",3.817602794,3.892050776,3.352454908,3.573049728,2.973886582,2.687808528,3.590997235,4.023560379,3.784357389,4.136604545,3.178929807,3.140749525
494115,"RBMXL1",4.940446077,5.353687406,4.607548341,4.954737445,4.757931124,4.756510283,4.865553088,5.094309236,5.096737319,5.376295927,5.132173904,5.223180097
2635,"GBP3",3.075431517,3.640927455,3.654513137,3.213373389,3.808916021,3.400640223,2.000777264,2.103380146,2.654889076,3.015463629,2.047821317,2.117727281
2634,"GBP2",3.516597278,3.375990694,1.938951431,1.33798283,1.897850461,2.009052545,3.534710196,3.273014261,1.495556699,1.716895355,3.960838967,4.002372717
23507,"LRRC8B",5.55173321,5.868474191,4.473534575,4.55439199,4.986143702,4.967099813,5.463266986,5.417950841,4.527934602,4.744525938,5.07915044,5.015175404
84230,"LRRC8C",4.669059749,4.966403081,4.812966242,4.779061293,5.03797102,5.06611514,4.136142186,4.128520231,4.24943008,4.363341192,4.443514516,4.33727614
400761,"LRRC8C-DT",0.539956242,0.628117404,0.370999946,0.207013671,-0.15066012,0.116592321,-0.292596176,0.467055057,-0.207241953,-0.133565734,-0.077759671,0.347619467
55144,"LRRC8D",5.357962053,5.645360508,5.711053381,5.839787163,5.909206924,5.874367891,5.455018884,5.579408692,5.37038629,5.654601329,5.326694051,5.4490254
284695,"ZNF326",5.036551261,5.170209603,4.963047705,5.047544909,4.901241434,5.034818317,4.838330716,4.888034604,5.096737319,5.291325547,5.369851216,5.38658497
84146,"ZNF644",5.896100652,6.232897745,5.896623304,5.880921811,5.671494527,5.8119599,5.896868985,6.121022762,6.067127556,6.229465327,6.131001763,6.085000122
164045,"HFM1",-0.129905678,0.491623684,0.8749082,1.140619882,0.064534939,0.561991054,0.399926409,0.519464349,0.972382856,1.003170946,1.892571535,2.03443889
8317,"CDC7",2.448690733,3.523311898,2.313134941,2.874965173,2.309847615,3.059814644,2.676142965,3.170220646,2.848653497,3.858042459,3.078441968,3.375454743
7049,"TGFBR3",3.44686227,3.499779521,2.732401567,3.207075327,3.076582611,3.048462717,3.070987737,3.194600616,4.292160812,3.962867586,4.120976621,4.441176516
253152,"EPHX4",0.39935609,1.165525588,0.916824868,1.53186661,1.092592963,1.575063737,1.217515338,1.54420071,1.420502652,1.282159779,1.612002922,1.730118676
646817,"SETSIP",1.853627364,2.483271593,1.811423007,1.448894525,1.811146706,1.886901014,2.647474867,3.068359319,1.228515027,1.893327065,1.874243277,2.165485889
23285,NA,1.661770704,1.935226325,2.19886128,2.272294921,1.925631192,1.9614257,1.807003088,2.068627497,2.087173341,2.236555774,2.917709142,2.82107465
11146,"GLMN",3.516597278,4.017494023,3.709208522,3.756747288,3.484063346,3.478835959,3.339436617,3.617612976,3.769312423,4.072861284,3.852658931,4.087478894
79871,"RPAP2",3.572240676,3.975458484,3.660693814,3.786620466,3.539053166,3.495651878,3.529482601,3.511636253,3.862050225,3.84379047,4.012031674,3.662950839
7813,"EVI5",5.008587591,5.392540081,5.384995149,5.270800668,5.250588395,5.04055938,4.658456496,4.768613346,5.403244215,5.662743083,5.028253956,4.90225425
6125,"RPL5",8.198440494,8.484647182,8.005720847,8.078496285,7.806351524,7.985029058,8.594319495,8.73637603,8.254010793,8.356083361,8.121406593,8.168578816
388650,"DIPK1A",4.366339684,4.651023322,4.597917939,4.546930658,4.624452632,4.605897462,4.129247196,4.206515974,4.645203266,4.649401021,4.757829981,4.746103493
