"ENTREZID","SYMBOL","84.1_DOX_0.5_3","84.1_VEH_0.5_3","17.3_DOX_0.5_3","90.1_DOX_0.5_3","90.1_VEH_0.5_3","75.1_DOX_0.5_3","17.3_VEH_0.5_3","75.1_VEH_0.5_3","78.1_DOX_0.5_3","78.1_VEH_0.5_3","87.1_DOX_0.5_3","87.1_VEH_0.5_3"
10623,"POLR3C",4.670037165,4.685298631,4.491652742,4.681957614,4.826601027,4.47807162,4.591564212,4.634769823,4.535996209,4.893640441,4.637706573,4.676765749
200035,"NUDT17",2.320408914,2.030708834,2.380765816,2.038240688,2.248095482,2.033980595,2.148520214,1.758582125,2.04067795,2.594434085,2.407798273,2.661192924
10401,"PIAS3",5.159693091,5.183796569,5.004579297,5.203978338,5.189579209,5.001613679,5.176642039,5.019411829,5.201558966,5.270566137,5.19420131,5.093516833
8515,"ITGA10",3.794630675,3.168592171,3.850878903,1.090689166,1.262554593,2.583261408,3.460844727,2.609097357,1.957504843,1.981084831,1.019745245,0.750013606
8799,"PEX11B",4.330356381,4.28079327,3.580021749,4.277860686,4.52014135,4.381735609,4.232171415,4.177597673,4.435078201,4.551569217,4.404451809,4.840091059
9939,"RBM8A",5.770257355,6.029450805,5.928756581,6.242950399,6.108959647,6.255506811,5.801922779,6.039882379,6.169345797,6.108823769,6.28243675,6.32912602
128077,"LIX1L",4.988873579,5.071903533,4.563735244,4.948533439,4.930900343,5.160499618,4.607869912,5.088588244,5.168654874,5.165411087,4.89677646,5.267394015
84265,"POLR3GL",4.070420586,4.103244413,4.397109375,4.252527542,4.166948939,4.839618259,4.309975833,4.31977445,4.608669957,4.189830384,4.652829963,4.648517147
284615,"ANKRD34A",3.229539413,3.121533108,1.453286139,1.758686834,2.620625544,1.782823163,2.949021964,2.609097357,1.153388741,2.295403907,1.795083268,3.085702777
10628,"TXNIP",7.835432491,7.872596512,3.861812942,2.922284015,5.121606316,6.750579109,7.641815925,8.268690779,6.586171986,8.212401323,5.771462152,7.448883239
148738,"HJV",0.970121238,1.046902272,1.300935605,0.989174453,1.121190329,1.782823163,1.42215082,1.543549645,0.275239281,0.977709647,0.889611191,1.535606291
100132406,"NBPF10",4.453921516,4.629206812,4.327826728,3.912369164,4.097875271,3.870884254,4.711098812,4.467636583,4.413394891,5.012103673,4.144021182,4.173738795
388677,"NOTCH2NLA",3.574036297,3.778648344,4.85665181,4.654589102,4.473639701,4.288199523,4.810253153,4.48886573,4.785468306,5.004501678,4.186210829,4.333898762
170688,"NUDT4P2",6.151904367,6.354486014,5.432574761,6.557111446,6.819064014,7.223910224,6.38693512,7.36414113,6.933316,7.456399867,6.166039171,7.124188608
149013,"NBPF12",5.05379803,5.172297249,4.977188298,4.361487764,4.316317107,4.177781465,4.903028808,4.621100487,4.515788144,4.907293719,4.624981506,4.509795034
728989,"LOC728989",1.726055025,1.493832879,2.253702534,1.185528006,0.964454479,1.668687013,2.268251484,1.371350736,1.887331663,1.78204167,1.019745245,1.092652773
5565,"PRKAB2",6.110246787,6.2609559,6.814588878,6.286393287,5.931092678,6.185894903,6.579474547,6.240951131,6.562443517,6.447473664,6.377298701,6.099881709
171423,"PDIA3P1",8.727285342,8.595381289,8.70526518,8.24789028,8.25634779,7.988623501,8.499651807,8.024739315,8.094248828,7.938594198,8.257481735,8.074551431
2330,"FMO5",2.336556177,2.42108835,2.565995572,2.257840609,2.438922939,2.010743372,2.130574787,2.231303892,2.345524906,2.227369174,2.407798273,2.287720591
9557,"CHD1L",4.717050263,4.887298633,4.883725546,4.598243462,4.455347612,4.239054458,4.801773246,4.31977445,4.731414888,4.746457082,4.95080268,4.821808693
607,"BCL9",5.014191463,5.046934112,4.111265882,4.640707655,4.998152376,4.638274595,5.084100147,5.233977513,4.896811746,5.236359049,4.377393434,5.056859215
51205,"ACP6",4.204036203,4.088637142,4.259189349,3.698542075,3.857171351,3.982590836,4.489659281,3.955962182,4.209224139,4.276547318,4.276854815,4.001696285
2702,"GJA5",6.439471261,6.348367702,5.143227795,4.57215175,4.990550621,3.831640285,5.72178438,4.100884589,4.362574018,4.718849947,5.888947656,6.542324014
51463,"GPR89B",4.62801524,4.528180173,4.484596119,4.138617157,4.045033019,4.124654519,4.40634687,4.096939737,4.329877164,4.024276401,4.233921661,3.960509295
200030,"NBPF11",4.318210607,4.335431555,3.546530239,3.278408175,3.608395092,3.463540949,3.558035218,3.714729245,3.654948414,3.978446326,3.776217417,3.596509739
100132057,"PDE4DIPP6",0.296522872,0.733003241,-0.197229407,-0.114267177,0.691907726,-1.451769028,0.448305753,-0.691439995,0.100170137,0.935690685,-0.396591542,0.299782909
388685,"LINC01138",1.59795221,1.712846171,1.300935605,1.607032487,1.987964515,1.37314247,1.233271318,1.44767991,1.632373145,1.465066117,1.776792109,1.237614483
644591,"PPIAL4G",0.158008884,0.331249008,0.506980691,1.215804354,0.879201074,0.498274315,0.263047241,0.121388143,0.275239281,-0.253722059,0.855157095,0.586374576
25832,"NBPF14",5.623338539,5.544686236,5.242779619,5.190701664,5.287955472,4.865755531,5.415834575,5.276453589,5.445413566,5.856347601,5.32741084,5.310646346
100996763,"NOTCH2NLB",3.879737626,3.971445725,4.933806593,4.646276272,4.657691365,4.278503527,4.908304768,4.742225984,4.783054773,5.061785015,3.615685015,3.95632518
440672,"NUDT4B",5.967196747,6.151599883,5.242779619,6.372903794,6.67473846,6.981763484,6.154729275,7.213332698,6.73281782,7.229576586,5.853386944,6.881552244
9659,"PDE4DIP",8.429498411,8.356672753,9.017260601,8.229923024,8.276804993,9.146608289,9.055344546,9.337572428,8.904772371,8.791777028,8.539817341,8.427448453
400818,"NBPF9",4.281147443,4.31466099,3.83432088,3.816839824,3.911855527,4.09733892,3.775725805,4.147400146,4.272533148,4.397569604,4.175778519,4.277999239
653513,"LOC653513",5.448643904,5.402322586,5.886549911,5.255895941,5.283814878,6.411139684,5.965235043,6.349383871,6.335029028,5.989385961,5.96765728,5.897627001
