"ENTREZID","SYMBOL","87.1_DOX_0.1_48","87.1_VEH_0.1_48","17.3_DOX_0.1_48","17.3_VEH_0.1_48","84.1_DOX_0.1_48","84.1_VEH_0.1_48","90.1_DOX_0.1_48","90.1_VEH_0.1_48","75.1_DOX_0.1_48","75.1_VEH_0.1_48","78.1_DOX_0.1_48","78.1_VEH_0.1_48"
79657,"RPAP3",5.25736721,5.464204165,5.089666572,5.284325047,4.791679782,5.096747422,5.194879666,5.222352004,5.722055149,5.485898035,5.526382913,5.379852299
10411,"RAPGEF3",-0.372641926,0.752806244,1.417124907,1.949069281,1.268129872,1.25778619,1.456712568,1.466241053,1.129970839,0.821163261,0.157180765,1.343958346
55652,"SLC48A1",4.4880426,4.264396769,4.766786195,4.477983134,5.242235369,4.914921394,4.776775709,4.635442109,5.107409275,4.804627584,4.495994849,4.859337323
51564,"HDAC7",6.078656491,5.848817581,6.600760515,6.093876934,6.603969343,6.494479648,6.584451895,6.37234434,6.29005952,5.586332287,6.461685692,5.87002774
79022,"TMEM106C",5.718157242,6.117809471,5.643418681,5.920916053,5.790597323,5.990143198,5.639030994,6.010926534,5.985899626,5.960055739,5.779400116,5.940352295
1280,"COL2A1",7.946691605,8.231403173,8.519618838,8.975202118,8.249733271,8.8729364,8.475354627,8.599478351,7.217174583,7.307619119,8.504210177,9.303198645
29843,"SENP1",3.809930874,4.257397334,3.875849966,3.803417173,3.693226493,4.067771306,4.10315865,4.132732108,4.180604652,4.632918718,4.227471825,4.333796683
5213,"PFKM",8.085999397,8.33995622,8.261607087,8.614882778,8.373302807,8.357810532,8.299976864,8.495793424,7.528482611,8.595169213,7.540948222,8.40847346
140461,"ASB8",5.062313064,5.111256338,4.827101582,4.918576352,4.957031166,4.7176202,4.951998311,5.087815771,5.278423002,5.001502008,4.876637608,4.782293449
121274,"ZNF641",4.784134881,4.693130915,4.649199578,4.524312301,4.673406129,4.632750582,5.005975764,4.9127376,5.047222349,4.840958121,4.889647821,4.614642663
54934,"KANSL2",5.089228528,5.103470936,5.234028321,5.146308416,5.365059747,5.233351712,5.185999437,5.194416306,5.451870882,5.112662445,5.428149826,5.340517586
904,"CCNT1",5.737427142,5.74004141,5.487082867,5.554925198,5.571898095,5.788269482,5.750140884,5.663324726,5.906816703,5.750668674,5.965397859,5.720842168
112,"ADCY6",7.993970314,8.400180889,8.949281624,8.949494467,8.911288736,9.045594186,8.70715765,8.609146235,8.15212889,8.831392134,8.568524848,8.937070059
784,"CACNB3",4.503132626,4.444668042,4.569052158,4.117332411,4.634138637,4.8444678,5.438660877,5.21442542,4.019529636,4.113029632,4.613577526,4.525948537
9416,"DDX23",6.555992358,6.339479484,6.317741047,6.430988362,6.175836611,6.326068712,6.419044254,6.561531056,6.542870366,6.344437508,6.55855001,6.457737185
27289,"RND1",1.103501046,-0.405583528,1.443052788,-0.133080502,-0.34189653,-1.011676343,0.29591041,-1.11465601,-0.163843621,-0.569168873,1.439276808,1.103616596
85478,"CCDC65",-0.527582828,-0.237958205,0.394557327,0.046964992,0.559904358,0.428243,-0.261325506,0.03466518,0.00767005,0.259013828,0.672768223,-0.028699934
51303,"FKBP11",2.027047383,2.03682757,2.973122798,2.679559211,2.991340261,2.99032328,2.702576123,2.438874514,2.132885376,2.115230795,2.587793281,2.499475709
377,"ARF3",7.080065887,6.949295041,6.861496256,6.73502947,6.66280143,6.681546845,7.080615703,6.996536811,7.274475627,6.861408189,7.14216748,6.855461553
7480,"WNT10B",-1.256912846,-0.405583528,0.100841177,0.52317328,-0.035242904,-0.281477194,-0.261325506,-0.963140165,0.086340952,0.259013828,-0.916933722,0.815071941
23109,"DDN",2.338804648,1.252578956,1.417124907,1.933894064,1.964732676,2.009052545,2.270198952,2.425203529,2.693909678,1.102283956,0.895498581,0.600196067
5571,"PRKAG1",5.745909614,5.582340698,5.37032567,5.207532706,5.424854353,5.104990023,5.536220398,5.431690399,5.545346685,5.485898035,5.445874645,5.33530699
8085,"KMT2D",6.553578452,6.446440098,7.345438406,7.097894996,6.740492698,7.200543827,7.071001097,6.786706991,7.274475627,6.908387049,7.21891198,6.825425168
55716,"LMBR1L",4.281840793,4.000826491,4.72776704,4.264096867,4.694382661,4.636546264,4.53245592,4.336359301,4.471868276,4.035727982,4.807025795,4.591518927
10376,"TUBA1B",7.58918102,8.875829929,7.833239136,8.782963504,7.918301981,8.745824804,8.032555268,8.763282113,6.95226437,8.876282368,7.625036972,8.74823093
7846,"TUBA1A",8.436963103,8.977161846,8.521521341,8.594519708,8.417863891,8.562206332,9.060784152,8.905300633,7.884448922,8.650291809,8.729863204,8.861455319
84790,"TUBA1C",6.157867272,7.149235425,6.536733051,7.04281815,6.230713989,6.951364413,6.702795282,6.969123077,5.967830902,6.987764899,6.223518274,6.830989143
10024,"TROAP",-3.267630178,2.745840573,-3.267630178,3.188014476,-1.267859705,3.592628067,-2.643616625,2.870718037,-1.602923516,3.582841226,-2.249582839,3.679493635
79962,"DNAJC22",0.487046757,1.361036703,0.959106451,1.551884891,0.364356677,1.371476509,0.360477382,1.103903593,1.546466343,1.982758223,1.697816774,2.03443889
65244,"SPATS2",4.928987443,4.959950298,5.000810942,5.035154652,4.867517651,5.037691704,5.138459722,5.063753178,5.511890077,5.076552329,5.39386067,5.10772364
10445,"MCRS1",6.363402444,6.354316791,6.703548949,6.593721823,6.690906761,6.420456433,6.706681127,6.627187767,6.421047236,6.470377097,6.323742213,6.497154681
84070,"FAM186B",0.526968464,0.286880096,1.029249136,0.911912871,0.933714274,0.496666396,0.59322512,0.618895387,0.97318463,1.164767852,0.936196881,0.454012222
25766,"PRPF40B",4.098598474,3.672842942,4.029211567,3.606932133,4.173349811,3.803149074,3.964639613,3.972777226,3.910238635,3.599902264,3.972572449,3.67400042
91010,"FMNL3",2.788085527,2.85187479,3.11696679,3.155675855,3.035848401,3.690814234,3.659293679,3.699396965,3.125053243,2.946000289,3.860739086,3.172262286
7009,"TMBIM6",8.874713704,8.944577669,8.930932349,9.04505875,9.152550447,9.270034812,8.896310792,8.961878063,8.806739459,8.94701768,8.868074352,9.189047153
57701,"NCKAP5L",6.435312192,6.15688778,6.885331729,6.735576553,6.742172529,6.497613471,6.585296392,6.526747168,6.330013357,6.473466074,6.359717947,6.617938304
100286844,"BCDIN3D-AS1",1.103501046,0.340853835,0.682670646,0.351066737,1.024861144,0.850466445,0.645984423,0.41266987,1.546466343,0.471673359,1.4948244,0.645807917
144233,"BCDIN3D",2.457177231,1.863285875,1.612566272,1.806378674,1.917938732,1.725202405,2.091525331,2.068627497,2.779270196,2.017034086,2.548956923,2.18106044
29127,"RACGAP1",1.700380094,5.006613828,1.6352349,4.85151447,1.869575998,4.74951689,2.201361504,4.521208699,1.846846105,5.432931164,1.649683076,5.091332286
41,"ASIC1",2.497922407,3.211896769,3.255096786,3.461066015,3.079024428,3.364478015,2.488148208,2.958756001,2.387111504,3.220574082,2.159715143,3.701259697
6602,"SMARCD1",5.070778213,5.15145435,5.250639971,5.183674659,5.295832866,5.294690766,5.440528811,5.548215099,4.986980304,5.204757931,5.134456373,5.238147258
2819,"GPD1",-0.300995366,0.111670555,0.100841177,0.712925443,-0.232274986,-0.068756313,-0.470051933,-0.478967017,-1.602923516,0.74140379,-1.434561923,0.454012222
84987,"COX14",4.830733655,4.929449716,4.784640167,4.87752518,4.864436068,4.566647514,4.637155567,4.895490017,4.95588893,4.933591277,4.429844651,4.711665725
91012,"CERS5",5.567188449,5.361868451,6.079222128,5.901545138,6.297356703,6.204761258,5.822118154,5.811241492,5.665523541,5.407316314,5.752590032,5.423063303
51474,"LIMA1",5.569579709,6.340307795,6.473667623,6.278652709,6.60304523,6.883509503,6.464734021,6.202422733,5.004812246,5.728861435,5.633898846,5.54843966
113251,"LARP4",6.748739906,6.79470967,6.520081821,6.744301777,6.497598876,6.609024343,6.563177188,6.701373784,6.981504673,6.916921424,6.832951208,6.632880296
57609,"DIP2B",6.836244939,6.863162877,6.989621214,7.013343109,6.79734555,6.96727591,7.013183416,6.835972249,6.923758795,7.026136917,7.004226338,6.851208738
466,"ATF1",4.83670228,4.528459159,3.832369322,3.828251161,4.127813924,4.039380803,4.449550234,4.568614892,4.976690783,4.080984924,4.485749627,3.600617412
25840,"TMT1A",2.040900853,2.291025332,0.994604037,1.822948219,0.364356677,1.371476509,0.29591041,1.777284746,3.542783447,3.113763726,2.65028395,2.840819989
4891,"SLC11A2",5.431794273,5.576728362,5.877713934,6.047042492,5.923863803,6.121892142,5.50442799,5.554508008,5.126150617,5.945669453,5.368063051,5.896213131
