"ENTREZID","SYMBOL","17.3_CX.5461_0.5_3","84.1_CX.5461_0.5_3","84.1_VEH_0.5_3","90.1_CX.5461_0.5_3","90.1_VEH_0.5_3","75.1_CX.5461_0.5_3","17.3_VEH_0.5_3","75.1_VEH_0.5_3","78.1_CX.5461_0.5_3","78.1_VEH_0.5_3","87.1_CX.5461_0.5_3","87.1_VEH_0.5_3"
57212,"GFOD3P",5.146816013,5.218586177,5.156042645,5.089417517,5.116958864,5.254234904,5.206929396,5.286880041,5.051002426,5.169949032,5.042950357,5.001080781
148870,"CCDC27",-0.356651892,0.041553958,0.574300586,0.580060239,1.228490804,0.332015886,0.505124409,0.350722659,0.303983822,0.546525049,-0.086651039,0.750013606
388588,"SMIM1",0.233854911,0.735890402,0.457887133,0.780296554,1.328360296,1.33006263,0.805786339,0.94946993,1.499693724,0.935690685,1.196361071,1.29175258
57470,"LRRC47",6.531902035,6.488779856,6.331924203,6.685550493,6.806130466,6.475468651,6.42792103,6.389445045,6.49342866,6.485287696,6.607079451,6.650519573
9731,"CEP104",5.371884568,5.305548637,5.2177546,5.171897218,5.165026083,4.929964455,5.234495178,4.863284557,4.944262755,4.942199108,5.417587643,5.455535147
1677,"DFFB",1.402235736,2.053945818,2.030708834,1.41327765,1.509482192,1.112789347,1.998288567,1.050833662,1.740619939,1.241869992,1.988176027,1.724592199
339448,"C1orf174",4.006571182,4.186398183,4.083734999,3.69570217,3.811880809,3.328595951,3.87067623,3.279325535,3.550820121,3.736814211,3.689817995,3.744580519
261734,"NPHP4",2.906109802,3.180866595,2.836906235,2.761498386,2.916434717,2.615789795,2.938745913,2.705515571,2.459542316,2.48214563,3.191281729,2.949197289
8514,"KCNAB2",1.055768804,0.041553958,0.733003241,0.914115213,1.618716284,1.078896116,0.559789869,1.371350736,1.040461681,0.892411099,1.28170086,1.152396394
6146,"RPL22",6.839712968,6.715308076,6.783498148,6.987078742,6.794535825,6.665866216,6.546863163,6.717614127,6.553868049,6.809973799,6.744317997,6.895823953
102724450,"RNF207-AS1",0.08829955,0.195215463,0.263501719,0.070069496,-0.366522339,1.008623097,-0.110967552,1.083098428,0.847921132,0.303859189,1.463147965,1.535606291
388591,"RNF207",7.819010397,7.751073331,7.899696457,7.282972116,7.375404779,7.624589035,8.082566201,7.630507669,7.380479083,7.594458964,7.117534622,7.128843514
23463,"ICMT",7.32517226,7.321606576,7.357637433,7.114197806,7.160762681,7.245570864,7.348203002,7.33471187,7.080304602,7.04118231,7.095606749,7.092607215
387509,"GPR153",3.579394677,4.016355923,3.703944843,3.803119069,4.064473059,3.808722564,3.848890615,3.539786106,3.411430093,3.305034252,3.409223831,3.536114855
11332,"ACOT7",5.083399941,5.680585244,5.372484971,5.313874587,5.176238423,4.839240322,5.176642039,4.615596281,4.781251491,4.923508901,5.495571078,5.394991684
83715,"ESPN",-2.206282485,-0.97513585,-0.682104625,0.468453573,1.391294885,-1.303568343,-1.630079391,-1.211507227,-0.694797561,-1.174564759,-0.017045331,0.49702365
8718,"TNFRSF25",3.495265085,4.367080782,4.31047075,4.060519976,3.890229947,2.979494473,3.954670782,2.597975361,3.606668479,3.581978597,3.60405542,3.265550954
57449,"PLEKHG5",5.607183107,6.490636852,6.3836975,6.596276489,6.425998601,5.903501153,6.131231994,5.73181295,6.2560103,6.328709292,6.263326797,5.946961934
79707,"NOL9",5.149112055,5.152090271,5.041887947,5.115123602,4.904175814,4.981322318,5.102629318,4.837509582,5.181367526,5.049524149,5.055121122,5.14773154
3104,"ZBTB48",4.051450205,4.367080782,4.323005135,3.950591375,4.097875271,3.492042274,4.043664389,3.258286047,3.961072301,3.82001135,3.997909569,3.887674383
9903,"KLHL21",7.428026252,7.704629736,7.466625371,7.506919929,7.4119081,7.490021744,7.746413285,7.595286369,7.640021938,7.745371373,7.173499925,7.158739727
148479,"PHF13",5.073763309,5.561958687,5.246551902,5.262517916,5.171763938,6.190129394,5.031882606,6.112021333,5.539608014,5.626389186,5.032729028,5.087790354
90326,"THAP3",3.21748627,3.304252539,3.334602971,3.01092156,3.097189808,2.78299676,3.341108972,2.407268689,2.648779024,2.685992421,3.169055286,3.44945888
55735,"DNAJC11",5.843857841,5.791701473,5.627861803,5.99330852,6.122934228,5.749084672,5.718784684,5.683965107,5.672027505,5.81493465,5.87205554,5.751950587
23261,"CAMTA1",4.968490904,4.797406942,4.832829116,5.091773453,5.226721626,5.302760539,5.058227612,5.197599748,4.932170094,5.022177752,5.169629894,5.241837907
9341,"VAMP3",6.161857168,6.319411661,6.42207195,6.414361325,6.214967261,6.225412829,5.980343326,6.264882613,6.17212184,6.358832702,6.577851992,6.758391604
8863,"PER3",2.793200706,2.557655337,3.375291001,2.819508143,3.595089361,3.216160881,2.786621929,3.399499388,2.907826794,2.735815563,2.871613896,3.138360873
3604,"TNFRSF9",2.938328507,4.534849752,4.043906404,4.390253571,3.685751015,1.895025749,2.537034339,1.758582125,3.233661525,3.468677256,4.75784188,4.311143007
11315,"PARK7",7.118669844,7.039648922,6.934760418,7.154761467,7.083664748,7.184628286,7.109125434,6.923746731,6.849028635,6.981768295,7.132927462,7.191148022
54206,"ERRFI1",6.075164461,6.903400289,6.896135416,7.35289829,7.032142128,5.938178168,6.209181396,6.147735434,6.130393006,6.533625605,6.941869393,6.722501864
50651,"SLC45A1",0.702568313,2.093585338,1.902951697,1.661842262,1.815121625,1.008623097,1.42215082,0.94946993,1.210305377,1.30923996,2.222055411,2.118300205
473,"RERE",7.238877842,7.402247848,7.531066784,7.456622716,7.459950221,7.315913184,7.489984145,7.431083436,7.481022466,7.625765628,7.248727401,7.156917741
2023,"ENO1",9.126480553,9.609205217,9.611777521,10.41941179,11.0119135,9.46397685,9.173712559,9.411399476,9.228444743,9.165332666,10.38375003,10.83040399
80045,"GPR157",1.803034012,1.905945631,1.880514014,1.979369065,1.744565552,1.7731518,1.874366206,1.778422536,2.550948542,2.174151252,2.070421226,1.061826828
9563,"H6PD",6.580347034,6.66849978,6.531426493,6.318039951,6.559581044,6.974308465,6.647306592,7.009662377,6.740183566,6.466043374,6.706237071,6.6098092
80176,"SPSB1",2.88422386,3.243878232,3.121533108,2.761498386,2.709744699,3.111084141,3.219045813,3.244087304,2.984778358,3.305034252,2.83443633,2.915110208
84275,"SLC25A33",2.683427976,2.780462101,2.540388319,2.516969133,2.758302512,2.66230693,2.438368875,2.368524547,2.241681899,2.422544317,2.508337637,2.897759811
199953,"TMEM201",5.303444161,5.35938715,5.339962957,5.650713593,5.962517919,5.25613177,5.522896032,5.15838941,5.383173655,5.165411087,5.270504505,5.253820449
5293,"PIK3CD",3.040806515,4.006006386,3.64526389,3.460725995,3.92254796,2.79348396,3.113367584,2.84375739,3.368999049,3.554476487,3.198615095,3.530496944
22883,"CLSTN1",8.343122714,8.769202714,8.578491766,8.216823196,8.080429389,8.046212901,8.424085441,8.043820077,8.225849036,8.049260115,8.164813954,8.008141411
56998,"CTNNBIP1",4.678602949,4.760942256,4.815192008,5.237201872,5.128549543,5.289855674,4.96763081,5.329530289,5.262805309,5.194655748,5.351687278,5.439137373
84328,"LZIC",4.252759473,4.300889614,4.359967835,4.559810132,4.846389271,4.196271279,4.273643596,4.275085828,4.148339105,4.322109441,4.411653246,4.529643625
64802,"NMNAT1",5.024590302,4.788376812,4.736170282,4.92210328,4.959736607,4.675964632,4.698972565,4.512751158,4.762251255,4.808890681,5.020367069,5.001080781
10277,"UBE4B",6.73508346,6.621817211,6.709847551,6.642005867,6.669193753,6.696223993,6.714352856,6.771200142,6.768344387,6.792422875,6.37434317,6.317755306
23095,"KIF1B",8.080431221,7.61978436,7.809786528,7.963837778,8.012303916,7.956900099,8.114301094,8.129108278,8.111733791,8.149743005,7.732610359,7.771458723
5226,"PGD",7.082486989,7.259793106,7.092550497,7.382065593,7.388961063,7.207355615,6.914424727,6.991184418,7.125611303,7.125369124,7.109776173,6.991447021
378708,"CENPS",0.301472079,-0.434327653,0.263501719,0.914115213,-0.5914384,0.731607113,-0.028004986,0.402780866,0.62566807,0.801750642,0.713635931,0.401771425
1676,"DFFA",4.907411407,5.05252029,4.985183008,5.43200924,5.328720645,5.151994302,4.972676134,5.167822323,5.312164161,5.364621129,5.457870366,5.371616413
5195,"PEX14",4.684946705,4.81233268,4.63926517,5.235072011,5.220236181,4.898734398,5.100326144,4.706426286,4.734666494,4.773545835,5.018296405,5.074339506
54897,"CASZ1",7.280315461,7.419896941,7.37479576,7.473433477,7.449822303,7.58815792,7.42842858,7.705612801,7.557013455,7.713475309,7.188310072,7.115302695
148345,"C1orf127",-0.161925203,0.334074451,0.117644634,-0.598880985,-0.171987425,0.148123563,0.559789869,0.182228988,-0.37335679,-0.253722059,-0.594190717,0.131858525
23435,"TARDBP",7.32161424,7.199192341,7.172645025,7.089064801,6.894999855,7.194059101,7.138605144,7.187132216,7.089044858,7.167392281,7.1233262,7.032269282
10747,"MASP2",2.0974521,2.276925681,2.129158455,0.870873625,1.618716284,1.386570981,1.640767812,1.114657373,1.242000097,1.632241806,1.580065853,1.237614483
6723,"SRM",5.303444161,5.925393862,5.604093613,5.823677432,5.852196705,5.028696993,5.693032261,5.019411829,5.24531836,5.437944897,5.597562592,5.750743112
5394,"EXOSC10",6.182179695,6.304709395,6.45471352,6.364570844,6.5001469,6.09689218,6.142468917,6.173250185,6.073175125,6.194837447,6.274647365,6.261214279
2475,"MTOR",7.325679833,7.1353406,7.159309723,7.145152381,7.218846591,7.256035329,7.352080052,7.32673354,7.253572916,7.242021447,7.244747831,7.147773137
29914,"UBIAD1",5.194281819,5.065037345,4.94520177,5.258329305,5.348679263,4.866813316,5.074745548,4.813671356,5.035260187,4.931548657,4.980507064,4.913148566
26232,"FBXO2",3.382696773,3.668144761,3.460959541,4.193701843,4.399037198,3.152408871,3.630055803,2.684639277,3.831649555,3.84859898,4.22675417,4.439591719
93611,"FBXO44",5.2163472,5.27354884,5.208776992,5.454152009,5.523912137,4.790336641,5.477474771,4.701238746,5.101549805,5.314266272,5.330147456,5.183968267
26270,"FBXO6",0.889950487,2.206360146,2.25659273,1.851738106,1.882387391,1.708123126,1.535596342,1.697369287,1.144747289,1.494308878,1.43858279,1.64363788
10459,"MAD2L2",3.715758493,3.898210165,4.048945527,4.378723206,4.695588174,4.211992726,3.918523351,3.875347757,4.02167509,4.207595776,4.244577297,4.267905789
57085,"AGTRAP",3.846011244,4.253555017,4.302053582,4.34751729,4.462692302,3.8595148,4.13200284,3.875347757,4.177316484,4.194292283,3.823896712,3.909480746
4524,"MTHFR",6.398338062,6.445395639,6.502331566,6.376214417,6.369484759,6.568472833,6.692348497,6.691691507,6.336205805,6.483465924,6.060936176,6.019944527
