"ENTREZID","SYMBOL","17.3_DOX_0.5_24","87.1_DOX_0.5_24","87.1_VEH_0.5_24","17.3_VEH_0.5_24","84.1_DOX_0.5_24","84.1_VEH_0.5_24","90.1_DOX_0.5_24","90.1_VEH_0.5_24","75.1_DOX_0.5_24","75.1_VEH_0.5_24","78.1_DOX_0.5_24","78.1_VEH_0.5_24"
339230,"CCDC137",5.467197823,4.857974084,4.88389404,4.676633651,4.752145474,4.690873724,4.890274852,4.988686677,5.20816795,4.673604481,5.339240582,4.950317713
339231,"ARL16",4.07842325,3.934332751,4.266993194,3.95311314,4.042478722,4.249827796,3.731022746,4.585822089,3.388161172,3.963032699,4.152932788,4.34019586
9146,"HGS",6.986504425,6.9996996,6.436493477,6.527000199,7.136819106,6.754850598,7.43615402,6.910603103,6.763613728,6.358603618,6.40822211,6.302843575
6182,"MRPL12",4.77860371,4.98078287,6.247521673,6.356529149,4.491413635,5.666995679,5.46176183,6.514528669,4.45563836,5.874884512,4.127321414,5.955349138
1468,"SLC25A10",3.732916281,2.969745882,3.95121751,4.183445919,2.820829655,3.874480971,3.519822704,4.064421834,4.031360101,3.888182476,3.487473788,3.884008687
348262,"MCRIP1",5.494319439,6.062259162,5.597059604,5.644541825,5.840523683,5.134604113,6.527059635,6.001110205,5.309099466,5.59516066,5.015447632,5.506852128
5034,"P4HB",10.12075551,10.25798166,9.955466945,9.967582846,10.30655918,10.55883427,10.23047323,10.14994076,10.48035389,9.715323384,10.37052218,9.835950259
396,"ARHGDIA",6.797240286,7.493806371,7.597088574,7.104410856,7.53666629,7.725459533,7.922563077,7.762592254,6.22535724,6.844207796,6.268766813,7.05359664
10189,"ALYREF",6.342971593,6.15740012,5.395621372,5.308100982,6.005944526,5.328352789,6.442171215,5.715512434,5.623896753,5.506679942,5.790541498,5.347868736
51529,"ANAPC11",5.431560792,5.594704652,5.847888157,5.875423654,5.155308905,5.411773767,5.587995872,6.059865074,5.93666962,5.91091889,5.167685647,5.563243877
256933,"NPB",2.891316005,1.447083922,1.703887187,1.510350947,2.05989383,1.894526223,3.134817183,1.952796173,2.449303034,1.276738467,2.772662428,1.383710065
5833,"PCYT2",5.83919699,4.29713761,5.53672742,5.593956951,4.487836979,5.411773767,4.897795307,6.009008806,5.649229086,5.164460693,5.631114728,5.223701679
51547,"SIRT7",5.77271096,4.401335272,3.85117283,3.923071753,5.035478153,4.350987168,4.942112918,4.200717094,5.274787945,3.954425702,5.192596455,4.064919323
4097,"MAFG",7.381494353,7.362816346,5.952358309,6.341843684,7.328474374,6.069926664,7.474797941,6.300444082,6.439902801,5.746161401,6.286230832,5.747743702
92659,"MILIP",3.156813162,2.917986517,1.908195994,2.252137141,3.19882237,1.379543307,3.466876196,1.989758574,1.282893037,1.529431275,1.382923478,1.353930656
5831,"PYCR1",4.812863873,3.724374977,5.469366795,5.853291791,3.810189794,5.568640301,4.864919713,5.972542572,5.164326498,5.464870101,4.943893229,5.653101761
255275,"MYADML2",2.275307534,1.494973315,2.86151576,3.916987673,2.171118746,1.873753808,1.725563479,3.798844402,1.175401411,3.842267804,0.738910671,3.825537707
79058,"ASPSCR1",3.364257464,3.981322345,4.377448032,4.425524612,4.447897164,4.434919494,4.567724418,4.624529133,2.972543156,4.351832861,2.868529274,4.343987959
201254,"CENPX",4.103802767,3.636364808,3.777244448,3.543272306,2.68997969,2.925602453,3.168367838,3.751203162,4.587288036,3.658419111,3.934055027,3.362605159
201255,"LRRC45",4.036863855,2.770131568,3.777244448,3.769466703,3.250394317,3.910620751,3.143278277,3.761926893,4.432479587,4.005313899,4.20283062,3.628194751
5881,"RAC3",2.201994908,0.92473368,3.819294261,3.898579955,0.684904106,3.925836324,1.747927906,4.395790233,2.940068892,3.171377674,2.597206682,3.884008687
51181,"DCXR",6.270861792,6.139620691,5.046140978,5.148491116,6.390062709,4.760421132,6.388910173,5.498641504,6.048789419,4.91451628,5.822812175,4.825679338
5986,"RFNG",6.705723633,6.659009376,5.168667717,5.597765413,7.067225006,6.079029204,7.273688375,5.810252885,5.546914515,5.066022578,5.765855773,5.295957104
2873,"GPS1",7.352143977,7.004877502,6.767652497,6.818117107,6.975707065,6.93734662,7.336833829,7.078715391,7.2961415,6.848859332,7.266329164,6.737006321
64118,"DUS1L",5.397075566,5.624612994,5.542317619,6.031401805,5.384172448,6.212200291,5.868739053,5.963280149,5.850473557,6.008730572,5.305381352,5.79560578
2194,"FASN",9.191392348,8.577640007,7.676127833,7.77771641,8.986742079,8.126758887,9.142933512,8.135208067,8.273028726,7.617577502,8.637000263,7.897226145
