"ENTREZID","SYMBOL","17.3_CX.5461_0.1_3","84.1_CX.5461_0.1_3","84.1_VEH_0.1_3","90.1_CX.5461_0.1_3","90.1_VEH_0.1_3","17.3_VEH_0.1_3","75.1_CX.5461_0.1_3","75.1_VEH_0.1_3","78.1_CX.5461_0.1_3","78.1_VEH_0.1_3","87.1_CX.5461_0.1_3","87.1_VEH_0.1_3"
57512,"GPR158",3.155421324,2.56438294,2.534289437,1.087344772,1.45745689,3.784609325,1.740389556,1.975342165,3.203532555,2.910369102,1.374166254,2.15971007
23590,"PDSS1",3.272537015,3.187636466,3.370747139,3.67786714,3.267005027,3.451473408,2.781886495,3.086580692,2.387703164,2.790976918,3.127116517,3.086203132
10006,"ABI1",5.817069649,5.639451333,5.854839733,5.988966827,6.001575561,5.807996252,5.88568327,5.839639944,5.820874252,5.863535836,6.031443785,5.997058435
22852,"ANKRD26",5.89791044,5.680897274,5.550214982,5.483980165,5.527368596,5.597222243,5.794119319,5.812971499,5.642692517,5.619629949,5.480269561,5.572958632
10730,"YME1L1",7.84374986,7.767568858,7.949934511,7.636035812,7.693549552,7.766120068,7.861400083,7.828053142,7.683804555,7.68658137,7.86947628,7.853295802
84930,"MASTL",4.282328973,4.007607428,3.840617702,3.438339249,3.318382557,4.04185415,4.176638652,4.331796451,3.463854163,3.643177988,4.66060827,3.835319226
91452,"ACBD5",5.608708883,5.549230392,5.745046374,5.413045544,5.408779708,5.593830965,5.770619688,5.714106653,5.206348773,5.306104504,5.598389894,5.767142086
22931,"RAB18",6.442743439,6.357260282,6.635233892,6.281432432,6.329534766,6.392067191,6.491924489,6.523325835,6.103319437,6.180996906,6.311542868,6.50990269
143098,"MPP7",3.88717736,3.530054287,3.896799009,3.649104914,3.968930664,4.310551724,4.397278984,4.611033354,4.58069903,4.520030389,4.640187399,4.416779216
220906,"WAC-AS1",5.206702162,4.960491275,5.186282872,5.313455509,5.19961274,4.793031534,5.205970796,5.322410625,5.156803817,5.173145831,5.302330626,5.287010013
51322,"WAC",7.205499013,7.252960534,7.27421577,7.331142874,7.399331581,7.227939701,7.182292962,7.115950367,7.200013655,7.074726958,7.200344991,7.123345828
25805,"BAMBI",8.989049849,8.954115398,8.587148047,8.805542373,8.788173908,9.036143236,8.311157359,8.487107458,9.072928519,8.903270186,8.699956282,8.918993757
102724316,"SVIL-AS1",2.850934426,2.61999207,2.413443693,2.073468183,1.825356224,2.641895827,2.96787559,2.906578293,2.111835051,1.882279065,2.533932493,2.231116974
6840,"SVIL",9.927996576,9.816053256,9.800810309,9.686564421,9.720379094,10.13323412,10.23173866,10.26125227,10.59358139,10.49216696,10.50249051,10.12034984
57608,"JCAD",2.571240038,3.011702746,2.993694052,3.055561873,3.166445701,2.424952835,2.771400586,2.447070789,4.125775614,3.831444795,4.577130999,4.329993841
55149,"MTPAP",5.191909048,5.028854961,4.970027785,4.741771707,4.699298582,5.050554461,4.939461094,4.834318953,5.003543489,5.017841992,4.938988351,4.75027495
1326,"MAP3K8",1.378341275,1.411836441,1.633910917,1.287239353,1.261375438,1.129358767,0.431886378,0.389607707,1.082188043,1.317492195,0.702490934,0.805355308
645954,"SVIL2P",0.357413175,0.691304797,0.482133682,0.382721046,0.92499312,0.824449314,0.583437823,0.955580481,1.868398721,1.739091301,0.746824062,0.604880969
220929,"ZNF438",1.745521101,1.999036239,1.609666503,2.256218558,2.134716521,2.107447261,2.013835213,2.222317604,1.977793096,1.650400429,2.286111014,2.529048048
220930,"ZEB1-AS1",1.596228122,2.100267219,2.153229202,2.007017812,1.483413429,1.749366393,1.581403652,1.700638873,2.159055073,1.60392286,1.508983015,1.687631717
6935,"ZEB1",5.586258509,5.600240006,5.726846331,5.584242576,5.74013055,5.754326531,5.588482001,5.653769755,5.719516706,5.813353864,6.052569605,5.976426637
94134,"ARHGAP12",5.05555835,4.730353207,4.675225182,4.568285378,4.718550105,4.915809309,4.967291509,4.88640935,4.977437186,4.942801546,4.801256647,4.850047202
3799,"KIF5B",8.576782043,8.561374624,8.675386651,8.266439812,8.366345672,8.384854069,8.48085398,8.466507737,8.294418599,8.32063631,8.729253971,8.548526344
80314,"EPC1",5.283716232,5.372302844,5.208650443,5.278670202,5.330502757,5.173782665,5.158475897,5.039184785,5.135319224,5.175134146,4.880497119,5.094613829
79741,"CCDC7",2.500967856,2.317660094,2.621746454,2.073468183,2.183034899,2.588370865,2.467993341,2.665533401,2.619193122,2.148274505,2.401536574,2.485907171
