,CX.5461_0.1_3,CX.5461_0.1_24,CX.5461_0.1_48,CX.5461_0.5_3,CX.5461_0.5_24,CX.5461_0.5_48,DOX_0.1_3,DOX_0.1_24,DOX_0.1_48,DOX_0.5_3,DOX_0.5_24,DOX_0.5_48
7067,-0.100366126,-0.085407492,0.05289373,-0.089606555,-0.254248512,-0.150453986,-0.187652129,-1.34785455,-0.718215951,-0.026498177,-1.466530488,-1.593830722
9572,-0.129140892,0.01375172,0.164350137,-0.212646775,-0.104381426,0.030579653,-0.348990083,0.050484881,0.161705569,-0.771489935,0.76515101,1.227724155
339287,0.068048862,0.01939608,0.042237385,0.074189183,0.026648583,0.067199714,-0.016746225,-0.096309525,-0.112244451,-0.073421152,0.49227639,0.617591073
22794,-0.034584556,-0.019812985,0.013258579,-0.069088072,-0.11553909,0.059561551,-0.039459855,0.006607217,0.155116116,-0.161274797,-0.618923828,-0.302839377
51195,-0.042709362,0.022653499,0.213832505,-0.043932364,-0.011845545,0.052379765,-0.063785014,-0.187317148,0.162151946,0.153544568,-0.241501902,-0.185256227
147179,-0.050536879,0.049273225,0.071888272,-0.007801287,0.066411125,0.09246658,-0.166875182,0.101946576,0.185399711,-0.464946921,-0.307060192,-0.038733522
990,0.330933766,-1.402320939,-1.80611783,0.327603989,-1.871837856,-2.443882334,0.068764378,-2.300734526,-3.545099375,0.28278415,-1.235998829,-2.272776624
5914,-0.074538375,-0.017964468,0.125561248,-0.105676676,-0.000258058,0.00800019,-0.220225525,-0.342190861,-0.291714024,-0.800580404,-0.718601364,-1.192025773
125111,-0.143908859,-0.117672704,0.092944553,0.152178969,-0.043012881,0.109991028,0.261489616,0.934349509,0.687399792,0.346512816,1.79207261,1.759309647
7153,0.125082109,-1.936192734,-3.4225291,0.050647873,-2.220112069,-4.762358251,-0.06378957,-3.172043921,-6.327955579,0.017585978,-1.020542792,-3.199195214
3487,0.059232458,-0.04005403,-0.063622343,0.062191413,-0.088976367,-0.095198227,0.154772952,0.535310887,0.096183414,0.197197691,0.93841799,0.475326629
6605,-0.066274826,-0.131075507,-0.084697657,-0.009895973,-0.085397336,-0.090595968,-0.054740542,-0.313690587,-0.111671096,0.040872765,-0.413092692,-0.235943617
3858,-0.206340224,-0.108365166,-0.0339443,-0.112975348,-0.008683997,-0.118468501,0.000188494,-0.185355346,0.098204705,-0.00858497,-1.213242524,-0.593921794
147184,-0.24379453,0.105824448,0.109752356,-0.261485556,0.176656297,-0.125942321,-0.184229345,-0.087530536,0.018124775,-0.356622189,-0.807398555,-0.162118882
3880,-0.183984797,0.115473781,0.290396385,-0.018980593,-0.00779041,0.190692653,0.064442214,1.20788333,1.260468964,0.202406078,0.882847655,1.23707335
10209,-0.108319631,0.027984202,0.039157836,-0.005733208,0.030311103,-0.003422718,-0.005013876,0.382873393,0.314279191,0.09703197,-0.231575203,0.076691865
9001,-0.107334215,0.165987084,-0.047905836,-0.03872377,-0.093761441,0.299672902,0.135028988,2.208911656,1.84434769,0.52473832,4.366147036,4.712588838
3728,-0.024604835,0.125908704,0.278744582,0.033711644,0.198561588,0.269731929,0.016778606,0.163367397,0.130934255,0.060025833,0.545440346,0.62070155
10609,0.029666118,-0.010673001,0.08344341,0.071900025,0.003098213,0.07583359,0.167605127,-0.164253156,-0.002173343,0.147078697,-0.359821258,-0.554210147
60681,0.079998568,0.01868558,0.182996104,0.059686159,0.070536085,0.11465813,0.173618295,-0.21191137,-0.325083502,0.182478141,-0.220207647,-0.837103611
115024,0.017599161,-0.080753242,-0.142614988,-0.036029743,-0.023259931,-0.207442871,0.036282643,-0.251920331,-0.069135714,0.114825599,-0.45340358,-0.771430116
55175,0.206761655,0.140074061,0.201108435,0.111292846,-0.066778671,0.037787673,0.119695763,0.173250816,0.167315426,0.065752347,-0.189160886,-0.104056716
47,0.017270014,-0.062575433,-0.058805979,0.136955269,-0.039373932,0.029172545,0.084486842,0.192555791,0.007429837,0.180728884,1.720388205,1.267714406
83538,0.173448419,0.156664135,0.136855111,-0.469318909,-0.173038971,-0.267724954,-0.019476697,-0.291653714,-0.008103115,0.069722158,-0.29679327,0.533819224
1267,0.001474832,-0.064541178,0.035979668,0.08563979,-0.145424516,-0.032898754,0.040057078,-0.570034528,-0.209079932,0.027439752,-0.7503433,-0.40334924
7266,0.08131701,0.009359411,0.081653949,0.081109949,0.087615474,0.073025898,-0.036650134,-0.106522839,0.000860501,0.049158879,-0.599679931,-0.415330102
28511,-0.093366125,-0.08108064,0.052203731,0.003606791,-0.04145748,0.062471431,-0.030292805,-0.044099223,0.183705573,0.072340121,0.144678072,0.078362118
201181,-0.485398928,-0.324440188,-0.049041618,-0.368006321,-0.730931516,-0.775972079,-0.367204404,-0.527638748,-0.115240366,-0.605124972,-1.835937408,-0.807204861
2648,0.13003171,0.140220844,0.310744698,-0.036091301,0.046743188,0.092331242,0.076920834,-0.253021804,-0.298150555,0.089757817,-0.192033985,-0.606180138
5878,-0.047792951,-0.051822191,0.001661227,0.032461405,0.08781582,-0.034998582,0.030152839,0.102882182,0.103831253,0.035743135,0.237146515,0.32083211
84514,0.111442542,-0.11934549,-0.043955873,0.049913452,-0.12814401,-0.256275613,0.238733223,-0.74198101,-0.702930291,0.160324372,-1.592759582,-1.737850248
6777,0.051723189,0.024933914,0.040849928,-0.028689455,-0.074187057,0.01832173,-0.117417783,-0.242971531,-0.082186341,-0.062106936,-0.07568363,-0.355337864
6776,0.028554169,-0.34064636,-0.116552717,-0.083188515,-0.561584301,-0.307992472,0.09519644,-0.713097976,-0.265903041,-0.268548089,-0.699988596,-0.451820988
